Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

R5         R0603               14.7495mm      26.625mm      15.575mm      26.625mm      15.575mm      26.625mm  T        180.00 10k            
U3         DIP8_-_SOJ            21.81mm       22.19mm          18mm          26mm      18.254mm          26mm  T          0.00 CH9007A        
X4         5032                 15.001mm       19.76mm       13.35mm        22.3mm      15.001mm      21.792mm  T        270.00 14.31818       
b1         BELL_8530             55.15mm       63.25mm        59.4mm        67.5mm        51.5mm        66.9mm  T        180.00 BELL           
Q4         SOT23                56.325mm       70.05mm      56.325mm       70.05mm     56.3377mm      71.066mm  T        360.00 NPN            
R25        R0603                58.875mm     70.0245mm      58.875mm       70.85mm      58.875mm       70.85mm  T        270.00 33             
R26        R0603                53.775mm     70.0255mm      53.775mm        69.2mm      53.775mm        69.2mm  T         90.00 4.7k           
M2         MY-M2                   2.5mm           3mm         2.5mm           3mm         2.5mm           3mm  T          0.00 CON1           
U12        PLCC68                43.66mm       20.65mm        33.5mm        7.95mm        33.5mm        7.95mm  T         90.00 387SX          
CN1        MY-386SX1              14.4mm       20.65mm        21.9mm       29.45mm         6.9mm       29.45mm  T        180.00 386SX-1.1      
M1         M2A                     2.5mm       70.25mm         2.5mm       70.25mm         2.5mm       70.25mm  T          0.00 CON1           
U18        SOT23-5               8.925mm       18.75mm        7.85mm        19.7mm        7.85mm        19.7mm  T        270.00 74LVC1G79DBVR  
C1         C0603               54.5252mm       52.75mm        53.7mm       52.75mm        53.7mm       52.75mm  T        360.00 1000pf         
JPx        SIP2(2.0)            19.425mm       3.025mm      20.425mm       3.025mm      20.425mm       3.025mm  T        180.00 JP             
R14        R0603                  54.8mm     38.3255mm        54.8mm        37.5mm        54.8mm        37.5mm  T         90.00 4.7k           
R15        R0603                 56.15mm     38.3255mm       56.15mm        37.5mm       56.15mm        37.5mm  T         90.00 4.7k           
R16        R0603                  52.1mm     38.3255mm        52.1mm        37.5mm        52.1mm        37.5mm  T         90.00 4.7k           
R17        R0603                 53.45mm     38.3255mm       53.45mm        37.5mm       53.45mm        37.5mm  T         90.00 4.7k           
R19        R0603                  57.5mm     38.3255mm        57.5mm        37.5mm        57.5mm        37.5mm  T         90.00 4.7k           
CV36       C0603               50.6748mm        74.5mm        51.5mm        74.5mm        51.5mm        74.5mm  T        180.00 0.1uf          

